org_mnemonic,fan_id,action_date,uphoria_page,uphoria_widget
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-20,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-20,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-24,More,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-16,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-14,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,Home,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,More,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-20,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,0e565c4e-2af6-44e3-a9c8-39f17a6c6fb1,2021-08-24,Tickets,IMAGE_WIDGET
RICE,0e565c4e-2af6-44e3-a9c8-39f17a6c6fb1,2021-08-24,Home,POLL_COMM_ROW
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-24,Home,POLL_COMM_ROW
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-16,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,Home,IMAGE_WIDGET
RICE,0e565c4e-2af6-44e3-a9c8-39f17a6c6fb1,2021-08-24,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-24,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-20,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-16,Home,POLL_COMM_ROW
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-21,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-20,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-14,Home,POLL_COMM_ROW
RICE,0e565c4e-2af6-44e3-a9c8-39f17a6c6fb1,2021-08-24,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-14,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-19,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,Event Day,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-20,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,Brand Page,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-16,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,More,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-19,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-24,Tickets,IMAGE_WIDGET
RICE,ef1ea1c3-d21a-400b-8775-4463b929f360,2021-08-23,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-14,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,More,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-14,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,Brand Page,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-16,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,9da48a4d-9c51-4329-9f2f-ab9631059eb0,2021-08-24,Home,POLL_COMM_ROW
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-14,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,Home,POLL_COMM_ROW
